AN,Code,RN,acc,accuracy,an_found,an_height,an_line,an_text,an_width,an_x1,an_x2,an_y1,an_y2,average_response_time,avg_rt,background,box_width,canvas_backend,central_fixation,clean_word,clock_backend,color_backend,correct,correct_instruction,correct_question_sketchpad,count_ending_sketchpad,count_experiment,count_eyetracker_calibration,count_instruction,count_instruction_pygaze_log,count_list_filter,count_liste_auswahl,count_logger,count_pygaze_start_recording,count_pygaze_stop_recording,count_question_pygaze_log,count_question_sketchpad,count_sentence_script,count_trial_loop,count_trial_sequence,count_var_init_inline_script,cross_size,cross_x,cross_y,current_line,current_line_width,d,datetime,description,disable_garbage_collection,display_sentence,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,item,key,keyboard_backend,last_line_y,line_height_factor,line_spacing,list,live_row,live_row_trial_loop,logfile,margin,mouse_backend,name,opensesame_codename,opensesame_version,position_x,position_y,psychopy_screen,repeat_cycle,response,response_ending_sketchpad,response_instruction,response_key,response_question_sketchpad,response_time,response_time_ending_sketchpad,response_time_instruction,response_time_question_sketchpad,rn_found,rn_height,rn_line,rn_text,rn_width,rn_x1,rn_x2,rn_y1,rn_y2,round_decimals,sampler_backend,selected_list,sentence,sentence_text,skip_trial,sound_buf_size,sound_channels,sound_freq,sound_sample_size,spill_height,spill_line,spill_width,spill_x1,spill_x2,spill_y1,spill_y2,start,subject_nr,subject_parity,t0,text_start_x,text_start_y,time_ending_sketchpad,time_experiment,time_eyetracker_calibration,time_instruction,time_instruction_pygaze_log,time_list_filter,time_liste_auswahl,time_logger,time_pygaze_start_recording,time_pygaze_stop_recording,time_question_pygaze_log,time_question_sketchpad,time_sentence_script,time_trial_loop,time_trial_sequence,time_var_init_inline_script,timestamp,title,total_correct,total_response_time,total_responses,trial_counter,width,word,word_height,word_spacing,word_width
<AN>Frauen</AN>,C6,<RN>Expert*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-223.0,-91.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,bewertet,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,18,0,18,0,0,18,18,18,0,18,0,50.0,-810.0,-270.5,5.0,959.0,40.62608694915125,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Auf einer öffentlichen Veranstaltung stehen Investitionen und langfristige gesellschaftliche Entwicklungen zur Diskussion. Die <RN>Expert*innen</RN> unterstützen höhere Investitionen und langfristige Entwicklungen, doch diese <AN>Frauen</AN> kritisieren die Umsetzung. Die politischen Folgen werden unterschiedlich bewertet.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,14,space,psycho,178.0,3.0,117.0,5,18,18,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,371.0,178.0,2,0,space,,space,space,space,15077.00260001002,,14827.950900013093,15077.00260001002,True,53.0,3.0,<RN>Expert*innen</RN>,271.0,-810.0,-539.0,-56.0,-3.0,2,psycho,5,"Auf einer öffentlichen Veranstaltung stehen Investitionen und langfristige gesellschaftliche Entwicklungen zur Diskussion. Die <RN>Fachfrauen</RN> unterstützen höhere Investitionen und langfristige Entwicklungen, doch diese <AN>Männer</AN> kritisieren die Umsetzung. Die politischen Folgen werden unterschiedlich bewertet.","Auf einer öffentlichen Veranstaltung stehen Investitionen und langfristige gesellschaftliche Entwicklungen zur Diskussion. Die <RN>Fachfrauen</RN> unterstützen höhere Investitionen und langfristige Entwicklungen, doch diese <AN>Männer</AN> kritisieren die Umsetzung. Die politischen Folgen werden unterschiedlich bewertet.",0,1024,2,48000,-16,53.0,4.0,132.0,-91.0,41.0,61.0,114.0,experiment,11,odd,125946.72149998952,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,125930.3043000109,125410.29659999184,162817.91039998643,110329.029799992,,162768.0590999953,147690.49439998344,125930.33110001124,125410.32719999204,125930.21669998416,110526.26449998934,147687.52159998985,Experiment,0,0,0,1,1920,bewertet.,53.0,25.0,197.0
<AN>Männer</AN>,C1,<RN>Ingenieure</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-130.0,5.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,gestritten,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,20,0,20,0,0,20,20,20,0,20,0,50.0,-810.0,-270.5,5.0,1137.0,91.51815205214756,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen werden derzeit aktuelle gesellschaftliche Themen erörtert. Die <RN>Ingenieure</RN> kritisieren die Energiewende und stehen vor Herausforderungen, doch diese <AN>Männer</AN> lehnen zusätzliche Investitionen ab. Über die Konsequenzen wird weiterhin intensiv gestritten.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,3,space,psycho,178.0,3.0,117.0,5,20,20,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,596.0,178.0,2,0,space,,space,space,space,12179.610899998806,,14827.950900013093,12179.610899998806,True,53.0,3.0,<RN>Ingenieure</RN>,225.0,-810.0,-585.0,-56.0,-3.0,2,psycho,5,"Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen werden derzeit aktuelle gesellschaftliche Themen erörtert. Die <RN>Ingenieur*innen</RN> kritisieren die Energiewende und stehen vor Herausforderungen, doch diese <AN>Frauen</AN> lehnen zusätzliche Investitionen ab. Über die Konsequenzen wird weiterhin intensiv gestritten.","Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen werden derzeit aktuelle gesellschaftliche Themen erörtert. Die <RN>Ingenieur*innen</RN> kritisieren die Energiewende und stehen vor Herausforderungen, doch diese <AN>Frauen</AN> lehnen zusätzliche Investitionen ab. Über die Konsequenzen wird weiterhin intensiv gestritten.",0,1024,2,48000,-16,53.0,4.0,135.0,5.0,140.0,61.0,114.0,experiment,11,odd,163130.57690000278,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,163118.75749999308,125410.29659999184,200237.79579999973,110329.029799992,,200192.31479999144,188011.89610001165,163118.79899998894,125410.32719999204,163118.41269998695,110526.26449998934,188007.53689999692,Experiment,0,0,0,2,1920,gestritten.,53.0,25.0,244.0
<AN>Männer</AN>,C3,<RN>Arbeitnehmerinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-220.0,-85.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,offen,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,24,0,24,0,0,24,24,24,0,24,0,50.0,-810.0,-270.5,5.0,792.0,60.91270211310606,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Im Rahmen einer Geschäftsveranstaltung findet derzeit ein Austausch über Arbeitsbedingungen und gesellschaftliche Entwicklungen statt. Die <RN>Arbeitnehmerinnen</RN> erwarten höhere Gehälter und klimatisierte Arbeitsplätze, aber diese <AN>Männer</AN> wollen auch weniger arbeiten. Die Frage nach den Konsequenzen bleibt offen.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,5,space,psycho,178.0,3.0,117.0,5,24,24,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,136.0,178.0,2,0,space,,space,space,space,12947.951600013766,,14827.950900013093,12947.951600013766,True,53.0,3.0,<RN>Arbeitnehmerinnen</RN>,389.0,-810.0,-421.0,-56.0,-3.0,2,psycho,5,"Im Rahmen einer Geschäftsveranstaltung findet derzeit ein Austausch über Arbeitsbedingungen und gesellschaftliche Entwicklungen statt. Die <RN>Arbeitnehmer*innen</RN> erwarten höhere Gehälter und klimatisierte Arbeitsplätze, aber diese <AN>Männer</AN> wollen auch weniger arbeiten. Die Frage nach den Konsequenzen bleibt offen.","Im Rahmen einer Geschäftsveranstaltung findet derzeit ein Austausch über Arbeitsbedingungen und gesellschaftliche Entwicklungen statt. Die <RN>Arbeitnehmer*innen</RN> erwarten höhere Gehälter und klimatisierte Arbeitsplätze, aber diese <AN>Männer</AN> wollen auch weniger arbeiten. Die Frage nach den Konsequenzen bleibt offen.",0,1024,2,48000,-16,53.0,4.0,135.0,-85.0,50.0,61.0,114.0,experiment,11,odd,200358.85920000143,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,200347.25140000228,125410.29659999184,239157.4333999888,110329.029799992,,239112.1029999922,226163.58689998745,200347.29619999416,125410.32719999204,200347.01170001063,110526.26449998934,226159.5013999904,Experiment,0,0,0,3,1920,offen.,53.0,25.0,129.0
<AN>Frauen</AN>,C4,<RN>Arbeitnehmerinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-105.0,27.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,Diskussionen,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,36,0,36,0,0,36,36,36,0,36,0,50.0,-810.0,-270.5,6.0,1543.0,13.115547445684454,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne, Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die <RN>Arbeitnehmerinnen</RN> fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese <AN>Frauen</AN> sehen vor allem strukturelle Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,12,space,psycho,295.0,3.0,117.0,5,36,36,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,-496.0,295.0,2,0,space,,space,space,space,20724.540099996375,,14827.950900013093,20724.540099996375,True,53.0,3.0,<RN>Arbeitnehmerinnen</RN>,389.0,-810.0,-421.0,-56.0,-3.0,2,psycho,5,"Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne, Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die <RN>Beschäftigten</RN> fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese <AN>Frauen</AN> sehen vor allem strukturelle Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.","Auf einer Gewerkschaftsveranstaltung wird derzeit über Löhne, Arbeitsbedingungen und Arbeitnehmerrechte diskutiert. Die <RN>Beschäftigten</RN> fordern bessere Bezahlung und faire Arbeitsbedingungen, doch diese <AN>Frauen</AN> sehen vor allem strukturelle Probleme. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.",0,1024,2,48000,-16,53.0,4.0,132.0,27.0,159.0,61.0,114.0,experiment,11,odd,239490.4050999903,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,239479.31580001023,125410.29659999184,287725.20099999383,110329.029799992,,287680.0719999883,266954.9148000078,239479.35859998688,125410.32719999204,239479.1147999931,110526.26449998934,266951.47549998364,Experiment,0,0,0,4,1920,Diskussionen.,53.0,25.0,289.0
<AN>Männer</AN>,C3,<RN>Aktivistinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-201.0,-66.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,geprüft,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,37,0,37,0,0,37,37,37,0,37,0,50.0,-810.0,-270.5,5.0,1182.0,96.0501129236192,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und gesellschaftspolitische Themen diskutiert. Die <RN>Aktivistinnen</RN> fordern mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire Lösungsansätze, doch diese <AN>Männer</AN> sehen die Verantwortung stärker beim Bund. Die Auswirkungen der Entscheidung werden noch geprüft.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,11,space,psycho,178.0,3.0,117.0,5,37,37,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,572.0,178.0,2,0,space,,space,space,space,13628.016500006195,,14827.950900013093,13628.016500006195,True,53.0,2.0,<RN>Aktivistinnen</RN>,297.0,261.0,558.0,-173.0,-120.0,2,psycho,5,"Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und gesellschaftspolitische Themen diskutiert. Die <RN>Aktivist*innen</RN> fordern mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire Lösungsansätze, doch diese <AN>Frauen</AN> sehen die Verantwortung stärker beim Bund. Die Auswirkungen der Entscheidung werden noch geprüft.","Auf einer öffentlichen Veranstaltung werden aktuelle wohnungs- und gesellschaftspolitische Themen diskutiert. Die <RN>Aktivist*innen</RN> fordern mehr bezahlbaren Wohnraum in Stuttgart und diskutieren faire Lösungsansätze, doch diese <AN>Frauen</AN> sehen die Verantwortung stärker beim Bund. Die Auswirkungen der Entscheidung werden noch geprüft.",0,1024,2,48000,-16,53.0,4.0,135.0,-66.0,69.0,61.0,114.0,experiment,11,odd,287763.76949998667,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,287751.38589998824,125410.29659999184,331813.43259999994,110329.029799992,,331768.2739000011,318139.47279998683,287751.41219998477,125410.32719999204,287751.2924000039,110526.26449998934,318135.46920000226,Experiment,0,0,0,5,1920,geprüft.,53.0,25.0,175.0
<AN>Frauen</AN>,C2,<RN>Experten</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-63.0,69.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,geprüft,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,38,0,38,0,0,38,38,38,0,38,0,50.0,-810.0,-270.5,5.0,1052.0,36.31397752932059,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Im Rahmen einer universitären Veranstaltung werden aktuelle Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit dieser <RN>Experten</RN> sehen eine stärkere Aufrüstung für Deutschland als notwendig, doch diese Gruppe von <AN>Frauen</AN> kritisiert dessen Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,10,space,psycho,178.0,3.0,117.0,5,38,38,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,442.0,178.0,2,0,space,,space,space,space,14908.118499995908,,14827.950900013093,14908.118499995908,True,53.0,3.0,<RN>Experten</RN>,179.0,-651.0,-472.0,-56.0,-3.0,2,psycho,5,"Im Rahmen einer universitären Veranstaltung werden aktuelle Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit dieser <RN>Fachleute</RN> sehen eine stärkere Aufrüstung für Deutschland als notwendig, doch diese Gruppe von <AN>Frauen</AN> kritisiert dessen Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.","Im Rahmen einer universitären Veranstaltung werden aktuelle Fragestellungen der Rüstungsindustrie behandelt. Die große Mehrheit dieser <RN>Fachleute</RN> sehen eine stärkere Aufrüstung für Deutschland als notwendig, doch diese Gruppe von <AN>Frauen</AN> kritisiert dessen Finanzierung. Die Auswirkungen der Entscheidung werden noch geprüft.",0,1024,2,48000,-16,53.0,4.0,132.0,69.0,201.0,61.0,114.0,experiment,11,odd,331855.066499993,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,331842.45110000484,125410.29659999184,370901.893000002,110329.029799992,,370856.21969998465,355947.4094999896,331842.56459999597,125410.32719999204,331841.8570999929,110526.26449998934,355943.49949999014,Experiment,0,0,0,6,1920,geprüft.,53.0,25.0,175.0
<AN>Männern</AN>,C5,<RN>Einwohner*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männern</AN>,158.0,-309.0,-151.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,Debatten,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,53,0,53,0,0,53,53,53,0,53,0,50.0,-810.0,-270.5,5.0,981.0,30.7081085135506,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit, gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die <RN>Einwohner*innen</RN> wünschen sich Sicherheit und verlässliche Perspektiven, doch diese Gruppe von <AN>Männern</AN> sieht Reformbedarf im System. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,13,space,psycho,178.0,3.0,117.0,5,53,53,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,393.0,178.0,2,0,space,,space,space,space,16628.088099998422,,14827.950900013093,16628.088099998422,True,53.0,3.0,<RN>Einwohner*innen</RN>,340.0,-810.0,-470.0,-56.0,-3.0,2,psycho,5,"Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit, gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die <RN>Bürgerinnen</RN> wünschen sich Sicherheit und verlässliche Perspektiven, doch diese Gruppe von <AN>Frauen</AN> sieht Reformbedarf im System. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.","Im Rahmen einer öffentlichen Veranstaltung wird über Sicherheit, gesellschaftlichen Zusammenhalt und politische Reformen gesprochen. Die <RN>Bürgerinnen</RN> wünschen sich Sicherheit und verlässliche Perspektiven, doch diese Gruppe von <AN>Frauen</AN> sieht Reformbedarf im System. Die weitere Entwicklung bleibt Gegenstand öffentlicher Debatten.",0,1024,2,48000,-16,53.0,4.0,158.0,-151.0,7.0,61.0,114.0,experiment,11,odd,371319.48599999305,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,371307.9866000044,125410.29659999184,418413.13850000734,110329.029799992,,418367.9931999941,401739.33899999247,371308.0168000015,125410.32719999204,371307.89950001054,110526.26449998934,401735.4623999854,Experiment,0,0,0,7,1920,Debatten.,53.0,25.0,197.0
<AN>Frauen</AN>,C4,<RN>Polizistinnen</RN>,undefined,undefined,True,53.0,4.0,<AN>Frauen</AN>,132.0,-202.0,-70.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,verhandelt,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,54,0,54,0,0,54,54,54,0,54,0,50.0,-810.0,-270.5,5.0,1026.0,20.650107354684643,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizistinnen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Frauen</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,18,space,psycho,178.0,3.0,117.0,5,54,54,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,485.0,178.0,2,0,space,,space,space,space,13052.560200012522,,14827.950900013093,13052.560200012522,True,53.0,2.0,<RN>Polizistinnen</RN>,294.0,-13.0,281.0,-173.0,-120.0,2,psycho,5,"Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizistinnen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.","Bei einer öffentlichen Sitzung im Rathaus wird über neue Verkehrsregelungen gesprochen. Die <RN>Polizistinnen</RN> diskutieren laut über mehr Sicherheit im Straßenverkehr und setzen sich für strengere Kontrollen ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Maßnahmen werden derzeit kontrovers verhandelt.",0,1024,2,48000,-16,53.0,4.0,132.0,-70.0,62.0,61.0,114.0,experiment,11,odd,418451.8850999884,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,418440.0259999966,125410.29659999184,462125.5286000087,110329.029799992,,462080.200700002,449026.89939999254,418440.05840001046,125410.32719999204,418439.8884999973,110526.26449998934,449023.6140000052,Experiment,0,0,0,8,1920,verhandelt.,53.0,25.0,244.0
<AN>Männer</AN>,C1,<RN>Professoren</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-65.0,70.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,diskutiert,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,59,0,59,0,0,59,59,59,0,59,0,50.0,-810.0,-270.5,5.0,1003.0,20.5561974109999,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professoren</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,15,space,psycho,178.0,3.0,117.0,5,59,59,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,461.0,178.0,2,0,space,,space,space,space,20476.52159997961,,14827.950900013093,20476.52159997961,True,53.0,2.0,<RN>Professoren</RN>,248.0,461.0,709.0,-173.0,-120.0,2,psycho,5,"Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professorinnen</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","Im Rahmen einer öffentlichen Veranstaltung wird über die Zukunft der Hochschulen und die Forschungsförderung diskutiert. Die <RN>Professorinnen</RN> diskutieren über die Zukunft der Hochschulen und setzen sich für mehr Forschungsgelder ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.",0,1024,2,48000,-16,53.0,4.0,135.0,70.0,205.0,61.0,114.0,experiment,11,odd,462275.68260001135,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,462264.5910999854,125410.29659999184,512261.9990000094,110329.029799992,,512216.4180999971,491738.9364000119,462264.6204000048,125410.32719999204,462264.3934999942,110526.26449998934,491735.540900001,Experiment,0,0,0,9,1920,diskutiert.,53.0,25.0,243.0
<AN>Männer</AN>,C5,<RN>Expert*innen</RN>,undefined,undefined,True,53.0,4.0,<AN>Männer</AN>,135.0,-309.0,-174.0,61.0,114.0,undefined,undefined,#232323,1620.0,psycho,True,bewertet,psycho,psycho,undefined,undefined,undefined,0,0,0,0,0,64,0,64,0,0,64,64,64,0,64,0,50.0,-810.0,-270.5,5.0,528.0,11.615547270791854,Sun Aug  9 10:50:53 2026,The main experiment item,False,"Beim Sommerfest eines Unternehmens wird über wirtschaftliche Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die <RN>Expert*innen</RN> sehen große Herausforderungen im nächsten Geschäftsjahr, dennoch bleiben diese <AN>Männer</AN> optimistisch. Die unternehmerischen Folgen werden unterschiedlich bewertet.",experiment.osexp,D:\ET_course_project_gender-bias\experiment,False,mono,False,39,no,white,no,yes,1080,7,space,psycho,178.0,3.0,117.0,5,64,64,D:\ET_course_project_gender-bias\experiment\subject-11.csv,150.0,psycho,an_found,Neonatal Nightingale,4.1.14,-60.0,178.0,2,0,space,,space,space,space,13540.970500005642,,14827.950900013093,13540.970500005642,True,53.0,3.0,<RN>Expert*innen</RN>,271.0,-810.0,-539.0,-56.0,-3.0,2,psycho,5,"Beim Sommerfest eines Unternehmens wird über wirtschaftliche Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die <RN>Fachleute</RN> sehen große Herausforderungen im nächsten Geschäftsjahr, dennoch bleiben diese <AN>Männer</AN> optimistisch. Die unternehmerischen Folgen werden unterschiedlich bewertet.","Beim Sommerfest eines Unternehmens wird über wirtschaftliche Entwicklungen und gesellschaftliche Herausforderungen diskutiert. Die <RN>Fachleute</RN> sehen große Herausforderungen im nächsten Geschäftsjahr, dennoch bleiben diese <AN>Männer</AN> optimistisch. Die unternehmerischen Folgen werden unterschiedlich bewertet.",0,1024,2,48000,-16,53.0,4.0,135.0,-174.0,-39.0,61.0,114.0,experiment,11,odd,512661.6068999865,-810.0,-290.0,,5086.726400011685,5087.057700002333,110531.57719998852,125360.06979999364,512650.19210000173,125410.29659999184,553837.5944999862,110329.029799992,,553792.0390999934,540250.4745000042,512650.235899986,125410.32719999204,512649.9899000046,110526.26449998934,540247.440999985,Experiment,0,0,0,10,1920,bewertet.,53.0,25.0,197.0
