"AN","Code","RN","acc","accuracy","an_found","an_height","an_line","an_text","an_width","an_x1","an_x2","an_y1","an_y2","average_response_time","avg_rt","background","box_width","canvas_backend","central_fixation","clean_word","clock_backend","color_backend","correct","correct_instruction","correct_question_sketchpad","count_ending_sketchpad","count_experiment","count_eyetracker_calibration","count_instruction","count_instruction_pygaze_log","count_list_filter","count_liste_auswahl","count_logger","count_pygaze_start_recording","count_pygaze_stop_recording","count_question_pygaze_log","count_question_sketchpad","count_sentence_script","count_trial_loop","count_trial_sequence","count_var_init_inline_script","cross_size","cross_x","cross_y","current_line","current_line_width","d","datetime","description","disable_garbage_collection","display_sentence","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","item","key","keyboard_backend","last_line_y","line_height_factor","line_spacing","list","live_row","live_row_trial_loop","logfile","margin","mouse_backend","name","opensesame_codename","opensesame_version","position_x","position_y","psychopy_screen","repeat_cycle","response","response_ending_sketchpad","response_instruction","response_key","response_question_sketchpad","response_time","response_time_ending_sketchpad","response_time_instruction","response_time_question_sketchpad","rn_found","rn_height","rn_line","rn_text","rn_width","rn_x1","rn_x2","rn_y1","rn_y2","round_decimals","sampler_backend","selected_list","sentence","sentence_text","skip_trial","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spill_height","spill_line","spill_width","spill_x1","spill_x2","spill_y1","spill_y2","start","subject_nr","subject_parity","t0","text_start_x","text_start_y","time_ending_sketchpad","time_experiment","time_eyetracker_calibration","time_instruction","time_instruction_pygaze_log","time_list_filter","time_liste_auswahl","time_logger","time_pygaze_start_recording","time_pygaze_stop_recording","time_question_pygaze_log","time_question_sketchpad","time_sentence_script","time_trial_loop","time_trial_sequence","time_var_init_inline_script","timestamp","title","total_correct","total_response_time","total_responses","trial_counter","width","word","word_height","word_spacing","word_width"
"<AN>Männer</AN>","C1","<RN>Unternehmer</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","4","None","legacy","None","None","None","4","0","0","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125378","125352","125378","11298","NA","NA","NA","NA","125352","125377","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C2","<RN>Unternehmer</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","1","0","1","0","0","1","1","1","0","1","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","4","None","legacy","None","None","None","5","1","1","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einem Networking-Event stehen wirtschaftspolitische und gesellschaftliche Fragestellungen im Mittelpunkt der Diskussion. Die <RN>Unternehmer</RN> brauchen weniger bürokratische Hürden und sprechen über Verbesserungen, doch diese <AN>Männer</AN> fordern weitere steuerliche Entlastungen. Die Folgen dieser Positionen bleiben umstritten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125402","125352","125402","11298","NA","NA","NA","NA","125352","125402","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C3","<RN>Ingenieurinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","2","0","2","0","0","2","2","2","0","2","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","17","None","legacy","None","None","None","5","2","2","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Im Rahmen einer städtischen Planungsrunde wird über die zukünftige Mobilität und den Ausbau des Nahverkehrs diskutiert. Die <RN>Ingenieurinnen</RN> diskutieren über nachhaltige Verkehrskonzepte und setzen sich für den Ausbau des ÖPNV ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125428","125352","125428","11298","NA","NA","NA","NA","125352","125428","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C3","<RN>Lehrerinnen</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","3","0","3","0","0","3","3","3","0","3","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","6","None","legacy","None","None","None","4","3","3","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Auf einer Konferenz zu Bildungsfragen in Stuttgart wird derzeit über aktuelle schulische Themen gesprochen. Die <RN>Lehrer</RN> sollen mehr auf Disziplin und Konsequenzen im Unterricht setzen, doch aus pädagogischen Gründen lehnen diese <AN>Frauen</AN> die Vorschläge ab. Die kommenden Entwicklungen sind weiterhin Gegenstand von Diskussionen.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125451","125352","125451","11298","NA","NA","NA","NA","125352","125451","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C2","<RN>Krankenpfleger</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","4","0","4","0","0","4","4","4","0","4","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","16","None","legacy","None","None","None","5","4","4","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Bei einer Informationsveranstaltung im Krankenhaus wird über aktuelle Impfreformen und deren Auswirkungen gesprochen. Die <RN>Krankenschwestern</RN> diskutieren über Langzeitfolgen von Corona und setzen sich für mehr Unterstützung ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125476","125352","125476","11298","NA","NA","NA","NA","125352","125476","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Männer</AN>","C1","<RN>Ingenieure</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","5","0","5","0","0","5","5","5","0","5","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","3","None","legacy","None","None","None","5","5","5","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Auf einer wissenschaftlichen Konferenz zu technischen Zukunftsfragen werden derzeit aktuelle gesellschaftliche Themen erörtert. Die <RN>Ingenieur*innen</RN> kritisieren die Energiewende und stehen vor Herausforderungen, doch diese <AN>Frauen</AN> lehnen zusätzliche Investitionen ab. Über die Konsequenzen wird weiterhin intensiv gestritten.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125500","125352","125500","11298","NA","NA","NA","NA","125352","125500","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
"<AN>Frauen</AN>","C2","<RN>Ingenieure</RN>","undefined","undefined","None","None","None","None","None","None","None","None","None","undefined","undefined","#232323","None","legacy","None","None","legacy","legacy","undefined","undefined","None","0","0","0","0","0","6","0","6","0","0","6","6","6","0","6","0","None","None","None","None","None","None","Mon Aug 24 16:30:49 2026","The main experiment item","False","None","experiment.osexp","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment","False","mono","False","18","no","white","no","yes","1080","17","None","legacy","None","None","None","4","6","6","C:\Users\sschu\Documents\GitHub\ET_course_project_gender-bias\experiment\subject-1.csv","None","legacy","an_found","Neonatal Nightingale","4.1.9","None","None","2","0","","NA","","None","NA","110205.0","NA","110205","NA","None","None","None","None","None","None","None","None","None","2","legacy","1","None","Im Rahmen einer städtischen Planungsrunde wird über die zukünftige Mobilität und den Ausbau des Nahverkehrs diskutiert. Die <RN>Ingenieurinnen</RN> diskutieren über nachhaltige Verkehrskonzepte und setzen sich für den Ausbau des ÖPNV ein, doch diese <AN>Männer</AN> lehnen die Vorschläge ab. Die nächsten Schritte werden derzeit kontrovers diskutiert.","1","1024","2","48000","-16","None","None","None","None","None","None","None","experiment","1","odd","None","None","None","NA","1619","1619","11299","125310","125523","125352","125523","11298","NA","NA","NA","NA","125352","125523","11298","None","Experiment","0","0","0","0","1920","None","None","None","None"
